sample_id,species,batch,treatment,ultrasound
741,H. illucens,1,B,1
742,H. illucens,1,B,1
743,H. illucens,1,B,1
744,H. illucens,1,B,1
745,H. illucens,1,B,1
746,H. illucens,1,B,1
747,H. illucens,1,B,1
748,H. illucens,1,B,1
749,H. illucens,1,B,1
750,H. illucens,1,B,0
751,H. illucens,1,B,0
752,H. illucens,1,B,0
753,H. illucens,1,B,0
754,H. illucens,1,B,0
755,H. illucens,1,B,0
756,H. illucens,1,B,0
757,H. illucens,1,B,0
758,H. illucens,1,B,0
759,H. illucens,1,B,0
760,H. illucens,1,B,0
761,H. illucens,1,B,0
762,H. illucens,1,B,0
763,H. illucens,1,B,0
764,H. illucens,1,B,0
765,H. illucens,1,B,0
766,H. illucens,1,B,0
767,H. illucens,1,B,0
768,H. illucens,1,B,0
769,H. illucens,1,B,0
770,H. illucens,1,B,0
771,H. illucens,1,B,0
772,H. illucens,1,B,0
773,H. illucens,1,B,0
774,H. illucens,1,B,0
775,H. illucens,1,B,0
776,H. illucens,1,B,0
777,H. illucens,1,B,0
778,H. illucens,1,B,0
779,H. illucens,1,B,0
780,H. illucens,1,B,0
781,H. illucens,1,B,0
782,H. illucens,1,B,0
783,H. illucens,1,B,0
784,H. illucens,1,B,0
785,H. illucens,1,B,0
786,H. illucens,1,B,0
787,H. illucens,1,B,0
788,H. illucens,1,B,0
789,H. illucens,1,B,0
790,H. illucens,1,B,0
791,H. illucens,1,B,0
792,H. illucens,1,B,0
793,H. illucens,1,B,0
794,H. illucens,1,B,0
795,H. illucens,1,B,0
796,H. illucens,1,B,0
797,H. illucens,1,B,0
798,H. illucens,1,B,0
799,H. illucens,1,B,0
800,H. illucens,1,C,1
801,H. illucens,1,C,1
802,H. illucens,1,C,1
803,H. illucens,1,C,1
804,H. illucens,1,C,1
805,H. illucens,1,C,1
806,H. illucens,1,C,1
807,H. illucens,1,C,1
808,H. illucens,1,C,1
809,H. illucens,1,C,1
810,H. illucens,1,C,1
811,H. illucens,1,C,1
812,H. illucens,1,C,1
813,H. illucens,1,C,1
814,H. illucens,1,C,1
815,H. illucens,1,C,1
816,H. illucens,1,C,1
817,H. illucens,1,C,1
818,H. illucens,1,C,1
819,H. illucens,1,C,1
820,H. illucens,1,C,1
821,H. illucens,1,C,1
822,H. illucens,1,C,1
823,H. illucens,1,C,1
824,H. illucens,1,C,1
